question,answer,category
"Who founded Facebook?","Mark Zuckerberg","companies"
"Who founded Tesla?","Elon Musk","companies"
"Who founded Google?","Larry Page and Sergey Brin","companies"
"Who founded SpaceX?","Elon Musk","companies"
"Who founded Twitter?","Jack Dorsey","companies"
"Who founded Nike?","Phil Knight","companies"
"Who founded Walmart?","Sam Walton","companies"
"Who founded McDonald's?","Ray Kroc","companies"
"Who founded Disney?","Walt Disney","companies"
"Who founded Ford Motor Company?","Henry Ford","companies"
"Who founded Coca-Cola?","John Pemberton","companies"
"Who founded IBM?","Thomas J. Watson","companies"
"What planet is closest to the Sun?","Mercury","science"
"What planet is known as the Red Planet?","Mars","science"
"What is the largest planet in our solar system?","Jupiter","science"
"What planet has rings?","Saturn","science"
"What is the closest star to Earth?","The Sun","science"
"What gas do plants absorb from the air?","Carbon dioxide","science"
"What gas do plants release?","Oxygen","science"
"What is the chemical symbol for water?","H2O","science"
"What is the chemical symbol for gold?","Au","science"
"What is the chemical symbol for silver?","Ag","science"
"What is the chemical symbol for iron?","Fe","science"
"What is the chemical symbol for sodium?","Na","science"
"What is the chemical symbol for potassium?","K","science"
"What is the chemical symbol for oxygen?","O","science"
"What is the chemical symbol for hydrogen?","H","science"
"What is the chemical symbol for carbon?","C","science"
"What is the chemical symbol for nitrogen?","N","science"
"What is the chemical symbol for helium?","He","science"
"What is the speed of light in meters per second?","299792458","science"
"What is the atomic number of hydrogen?","1","science"
"What is the atomic number of carbon?","6","science"
"What is the atomic number of oxygen?","8","science"
"How many chromosomes do humans have?","46","science"
"What is the powerhouse of the cell?","Mitochondria","science"
"What is the largest organ in the human body?","Skin","science"
"How many bones are in the adult human body?","206","science"
"What is the hardest natural substance on Earth?","Diamond","science"
"What is the most abundant gas in Earth's atmosphere?","Nitrogen","science"
"What is the boiling point of water in Celsius?","100","science"
"What is the freezing point of water in Celsius?","0","science"
"What force keeps planets in orbit around the Sun?","Gravity","science"
"What is the formula for Einstein's mass-energy equivalence?","E=mc2","science"
"What is the unit of electrical resistance?","Ohm","science"
"What is the unit of electrical current?","Ampere","science"
"What is the unit of force?","Newton","science"
"What is the unit of energy?","Joule","science"
"What is the unit of power?","Watt","science"
"What is the unit of frequency?","Hertz","science"
"What is the largest ocean on Earth?","Pacific Ocean","geography"
"What is the longest river in the world?","Nile","geography"
"What is the tallest mountain in the world?","Mount Everest","geography"
"What is the largest desert in the world?","Sahara","geography"
"What is the largest continent?","Asia","geography"
"What is the smallest continent?","Australia","geography"
"How many continents are there?","7","geography"
"How many oceans are there?","5","geography"
"What is the largest country by area?","Russia","geography"
"What is the smallest country in the world?","Vatican City","geography"
"What is the most populous country in the world?","China","geography"
"What river runs through London?","Thames","geography"
"What river runs through Paris?","Seine","geography"
"What river runs through Rome?","Tiber","geography"
"What river runs through Cairo?","Nile","geography"
"What is the largest lake in the world?","Caspian Sea","geography"
"What is the deepest lake in the world?","Lake Baikal","geography"
"What is the largest island in the world?","Greenland","geography"
"On which continent is the Amazon rainforest?","South America","geography"
"On which continent is the Sahara desert?","Africa","geography"
"What ocean is between Europe and America?","Atlantic Ocean","geography"
"What ocean is between America and Asia?","Pacific Ocean","geography"
"What is the longest wall in the world?","Great Wall of China","geography"
"In which country are the Pyramids of Giza?","Egypt","geography"
"In which country is the Taj Mahal?","India","geography"
"In which country is the Eiffel Tower?","France","geography"
"In which country is the Colosseum?","Italy","geography"
"In which country is Big Ben?","United Kingdom","geography"
"In which country is the Statue of Liberty?","United States","geography"
"In which city is the Louvre Museum?","Paris","geography"
"What year did World War I begin?","1914","history"
"What year did World War I end?","1918","history"
"What year did World War II begin?","1939","history"
"What year did World War II end?","1945","history"
"What year did Christopher Columbus reach America?","1492","history"
"What year did the French Revolution begin?","1789","history"
"What year was the Declaration of Independence signed?","1776","history"
"What year did the Berlin Wall fall?","1989","history"
"What year did man first land on the Moon?","1969","history"
"Who was the first man to walk on the Moon?","Neil Armstrong","history"
"Who was the first person in space?","Yuri Gagarin","history"
"Who was the first President of the United States?","George Washington","history"
"Who was the 16th President of the United States?","Abraham Lincoln","history"
"Who wrote the Declaration of Independence?","Thomas Jefferson","history"
"Who discovered America?","Christopher Columbus","history"
"Who was the first Emperor of Rome?","Augustus","history"
"Who was the leader of Nazi Germany?","Adolf Hitler","history"
"Who was the leader of the Soviet Union during World War II?","Joseph Stalin","history"
"Who was the British Prime Minister during World War II?","Winston Churchill","history"
"Who led India to independence?","Mahatma Gandhi","history"
"Who was the first female Prime Minister of the United Kingdom?","Margaret Thatcher","history"
"Who was assassinated in 1963?","John F. Kennedy","history"
"Who gave the I Have a Dream speech?","Martin Luther King Jr.","history"
"Who freed the slaves in the United States?","Abraham Lincoln","history"
"Who discovered gravity?","Isaac Newton","history"
"Who developed the theory of relativity?","Albert Einstein","history"
"Who discovered radioactivity?","Marie Curie","history"
"Who was the ancient Greek philosopher who taught Alexander the Great?","Aristotle","history"
"Who was the teacher of Plato?","Socrates","history"
"What ancient civilization built the pyramids?","Egyptians","history"
"What empire did Julius Caesar rule?","Roman Empire","history"
"What was the name of the ship on which the Pilgrims sailed to America?","Mayflower","history"
"What year did the Titanic sink?","1912","history"
"What country did Napoleon Bonaparte rule?","France","history"
"What was the name of the atomic bomb dropped on Hiroshima?","Little Boy","history"
"What is 2 + 2?","4","math"
"What is 5 x 5?","25","math"
"What is 10 x 10?","100","math"
"What is 12 x 12?","144","math"
"What is 100 / 10?","10","math"
"What is 50 / 5?","10","math"
"What is the square root of 16?","4","math"
"What is the square root of 25?","5","math"
"What is the square root of 100?","10","math"
"What is the square root of 144?","12","math"
"What is the square of 3?","9","math"
"What is the square of 7?","49","math"
"What is the square of 10?","100","math"
"What is the value of pi to two decimal places?","3.14","math"
"How many degrees are in a circle?","360","math"
"How many degrees are in a right angle?","90","math"
"How many sides does a triangle have?","3","math"
"How many sides does a pentagon have?","5","math"
"How many sides does a hexagon have?","6","math"
"How many sides does an octagon have?","8","math"
"What is the sum of angles in a triangle?","180 degrees","math"
"What is 15% of 100?","15","math"
"What is 50% of 200?","100","math"
"What is 25% of 80?","20","math"
"What is 10% of 500?","50","math"
"What is 1000 - 1?","999","math"
"What is 7 x 8?","56","math"
"What is 9 x 9?","81","math"
"What is 6 x 7?","42","math"
"What is 8 x 8?","64","math"
"What is the main language spoken in Brazil?","Portuguese","languages"
"What is the main language spoken in Spain?","Spanish","languages"
"What is the main language spoken in France?","French","languages"
"What is the main language spoken in Germany?","German","languages"
"What is the main language spoken in Italy?","Italian","languages"
"What is the main language spoken in Japan?","Japanese","languages"
"What is the main language spoken in China?","Mandarin Chinese","languages"
"What is the main language spoken in Russia?","Russian","languages"
"What is the main language spoken in Saudi Arabia?","Arabic","languages"
"What is the main language spoken in Israel?","Hebrew","languages"
"What is the main language spoken in Greece?","Greek","languages"
"What is the main language spoken in Poland?","Polish","languages"
"What is the main language spoken in Portugal?","Portuguese","languages"
"What is the main language spoken in Netherlands?","Dutch","languages"
"What is the main language spoken in Sweden?","Swedish","languages"
"What is the main language spoken in South Korea?","Korean","languages"
"What is the main language spoken in Turkey?","Turkish","languages"
"What is the main language spoken in Iran?","Persian","languages"
"What is the main language spoken in Vietnam?","Vietnamese","languages"
"What is the main language spoken in Thailand?","Thai","languages"
"How many days are in a week?","7","general"
"How many months are in a year?","12","general"
"How many days are in a year?","365","general"
"How many hours are in a day?","24","general"
"How many minutes are in an hour?","60","general"
"How many seconds are in a minute?","60","general"
"How many weeks are in a year?","52","general"
"How many letters are in the English alphabet?","26","general"
"What color do you get when you mix red and blue?","Purple","general"
"What color do you get when you mix red and yellow?","Orange","general"
"What color do you get when you mix blue and yellow?","Green","general"
"What are the three primary colors?","Red, blue, yellow","general"
"What is the opposite of hot?","Cold","general"
"What is the opposite of big?","Small","general"
"What is the opposite of fast?","Slow","general"
"What is the opposite of up?","Down","general"
"What is the opposite of light?","Dark","general"
"What is the opposite of good?","Bad","general"
"How many players are on a soccer team?","11","sports"
"How many players are on a basketball team?","5","sports"
"How many players are on a baseball team?","9","sports"
"How many players are on a volleyball team?","6","sports"
"How many innings are in a baseball game?","9","sports"
"How many quarters are in a basketball game?","4","sports"
"How many halves are in a soccer game?","2","sports"
"How many points is a touchdown worth in American football?","6","sports"
"What sport is played at Wimbledon?","Tennis","sports"
"What sport uses a puck?","Ice hockey","sports"
"What sport is the World Cup for?","Soccer","sports"
"What sport is the Super Bowl for?","American football","sports"
"What sport is the World Series for?","Baseball","sports"
"What sport is the NBA for?","Basketball","sports"
"What sport is played at the Masters?","Golf","sports"
"In what sport would you perform a slam dunk?","Basketball","sports"
"In what sport would you hit a home run?","Baseball","sports"
"In what sport would you score a goal using your head?","Soccer","sports"
"What country won the 2014 FIFA World Cup?","Germany","sports"
"What country won the 2018 FIFA World Cup?","France","sports"
"What animal is known as man's best friend?","Dog","animals"
"What is the largest mammal?","Blue whale","animals"
"What is the fastest land animal?","Cheetah","animals"
"What is the tallest animal?","Giraffe","animals"
"What is the largest land animal?","Elephant","animals"
"What animal is the King of the Jungle?","Lion","animals"
"How many legs does a spider have?","8","animals"
"How many legs does an insect have?","6","animals"
"What do you call a baby dog?","Puppy","animals"
"What do you call a baby cat?","Kitten","animals"
"What do you call a baby cow?","Calf","animals"
"What do you call a baby sheep?","Lamb","animals"
"What do you call a baby horse?","Foal","animals"
"What animal produces honey?","Bee","animals"
"What animal produces milk that humans commonly drink?","Cow","animals"
"What bird cannot fly?","Penguin","animals"
"What bird is the symbol of the United States?","Bald eagle","animals"
"What is a group of lions called?","Pride","animals"
"What is a group of wolves called?","Pack","animals"
"What is a group of fish called?","School","animals"
"What is the currency of the United States?","Dollar","currency"
"What is the currency of the United Kingdom?","Pound","currency"
"What is the currency of Japan?","Yen","currency"
"What is the currency of the European Union?","Euro","currency"
"What is the currency of China?","Yuan","currency"
"What is the currency of India?","Rupee","currency"
"What is the currency of Russia?","Ruble","currency"
"What is the currency of Mexico?","Peso","currency"
"What is the currency of Switzerland?","Franc","currency"
"What is the currency of South Korea?","Won","currency"
"Who composed the Ninth Symphony?","Ludwig van Beethoven","music"
"Who composed The Four Seasons?","Antonio Vivaldi","music"
"Who composed The Magic Flute?","Wolfgang Amadeus Mozart","music"
"Who composed Swan Lake?","Pyotr Ilyich Tchaikovsky","music"
"Who sang Thriller?","Michael Jackson","music"
"Who sang Like a Virgin?","Madonna","music"
"Who sang Bohemian Rhapsody?","Queen","music"
"Who sang Imagine?","John Lennon","music"
"Who sang Purple Rain?","Prince","music"
"Who is known as the King of Pop?","Michael Jackson","music"
"Who is known as the King of Rock and Roll?","Elvis Presley","music"
"Who is known as the Queen of Pop?","Madonna","music"
"What band was John Lennon in?","The Beatles","music"
"What band was Freddie Mercury in?","Queen","music"
"What band was Mick Jagger in?","The Rolling Stones","music"
"How many strings does a standard guitar have?","6","music"
"How many keys does a standard piano have?","88","music"
"What is the largest brass instrument?","Tuba","music"
"What instrument has black and white keys?","Piano","music"
"What instrument did Jimi Hendrix play?","Guitar","music"
"What is the capital of Austria?","Vienna","capitals"
"What is the capital of Morocco?","Rabat","capitals"
"What is the capital of Kenya?","Nairobi","capitals"
"What is the capital of Nigeria?","Abuja","capitals"
"What is the capital of Cuba?","Havana","capitals"
"What is the capital of Jamaica?","Kingston","capitals"
"What is the capital of Iceland?","Reykjavik","capitals"
"What is the capital of Croatia?","Zagreb","capitals"
"What is the capital of Serbia?","Belgrade","capitals"
"What is the capital of Bulgaria?","Sofia","capitals"
"Who directed Titanic?","James Cameron","movies"
"Who directed Jaws?","Steven Spielberg","movies"
"Who directed Star Wars?","George Lucas","movies"
"Who directed The Godfather?","Francis Ford Coppola","movies"
"Who directed Psycho?","Alfred Hitchcock","movies"
"Who directed Pulp Fiction?","Quentin Tarantino","movies"
"Who played Iron Man in the Marvel movies?","Robert Downey Jr.","movies"
"Who played Harry Potter in the movies?","Daniel Radcliffe","movies"
"Who played Jack in Titanic?","Leonardo DiCaprio","movies"
"Who played The Joker in The Dark Knight?","Heath Ledger","movies"
"Who played Forrest Gump?","Tom Hanks","movies"
"Who played James Bond first?","Sean Connery","movies"
"What movie features a character named Darth Vader?","Star Wars","movies"
"What movie features a character named Hannibal Lecter?","The Silence of the Lambs","movies"
"What movie features a character named Dorothy and a yellow brick road?","The Wizard of Oz","movies"
"What year was the first iPhone released?","2007","technology"
"What company makes the iPhone?","Apple","technology"
"What does CPU stand for?","Central Processing Unit","technology"
"What does RAM stand for?","Random Access Memory","technology"
"What does HTML stand for?","HyperText Markup Language","technology"
"What does URL stand for?","Uniform Resource Locator","technology"
"What does GPS stand for?","Global Positioning System","technology"
"What does USB stand for?","Universal Serial Bus","technology"
"What programming language is known for its use in web browsers?","JavaScript","technology"
"What programming language was created by Guido van Rossum?","Python","technology"
"What is the most popular search engine?","Google","technology"
"What company owns YouTube?","Google","technology"
"What company owns Instagram?","Meta","technology"
"What company owns WhatsApp?","Meta","technology"
"What does NASA stand for?","National Aeronautics and Space Administration","technology"
"What element has the chemical symbol O?","Oxygen","science"
"What element has the chemical symbol H?","Hydrogen","science"
"What element has the chemical symbol C?","Carbon","science"
"What element has the chemical symbol N?","Nitrogen","science"
"What element has the chemical symbol Fe?","Iron","science"
"What element has the chemical symbol Cu?","Copper","science"
"What element has the chemical symbol Ag?","Silver","science"
"What element has the chemical symbol Au?","Gold","science"
"What element has the chemical symbol Pb?","Lead","science"
"What element has the chemical symbol Hg?","Mercury","science"
"What is the largest internal organ in the human body?","Liver","science"
"What organ pumps blood through the body?","Heart","science"
"What organ is responsible for filtering blood?","Kidneys","science"
"What part of the body contains the femur?","Leg","science"
"What is the smallest bone in the human body?","Stapes","science"
"What blood type is the universal donor?","O negative","science"
"What blood type is the universal recipient?","AB positive","science"
"What vitamin is produced when skin is exposed to sunlight?","Vitamin D","science"
"What vitamin is found in citrus fruits?","Vitamin C","science"
"What disease is caused by a lack of Vitamin C?","Scurvy","science"
"What is the main ingredient in bread?","Flour","food"
"What is the main ingredient in wine?","Grapes","food"
"What is the main ingredient in beer?","Barley","food"
"What is sushi traditionally wrapped in?","Seaweed","food"
"What country is pizza originally from?","Italy","food"
"What country is sushi originally from?","Japan","food"
"What country is paella originally from?","Spain","food"
"What country is curry originally from?","India","food"
"What fruit is known as the king of fruits?","Durian","food"
"What is the most consumed beverage in the world after water?","Tea","food"
"What nut is used to make marzipan?","Almond","food"
"What grain is used to make sake?","Rice","food"
"What is tofu made from?","Soybeans","food"
"What type of pasta is shaped like a bow tie?","Farfalle","food"
"What is the main ingredient in guacamole?","Avocado","food"
"What is the holy book of Christianity?","Bible","religion"
"What is the holy book of Islam?","Quran","religion"
"What is the holy book of Judaism?","Torah","religion"
"Who is the founder of Buddhism?","Siddhartha Gautama","religion"
"Who is the founder of Islam?","Prophet Muhammad","religion"
"In which city was Jesus born?","Bethlehem","religion"
"What religion celebrates Diwali?","Hinduism","religion"
"What religion celebrates Hanukkah?","Judaism","religion"
"What religion celebrates Ramadan?","Islam","religion"
"How many commandments are there in the Bible?","10","religion"
"What is the first book of the Bible?","Genesis","religion"
"What is the last book of the Bible?","Revelation","religion"
"Who built the ark in the Bible?","Noah","religion"
"Who parted the Red Sea?","Moses","religion"
"Who was swallowed by a whale in the Bible?","Jonah","religion"
"How many states are in the United States?","50","general"
"What is the national bird of the United States?","Bald Eagle","general"
"What is the national animal of Australia?","Kangaroo","general"
"What is the national flower of Japan?","Cherry Blossom","general"
"How many stripes are on the American flag?","13","general"
"How many stars are on the American flag?","50","general"
"What colors are on the French flag?","Blue, white, red","general"
"What colors are on the Italian flag?","Green, white, red","general"
"What colors are on the German flag?","Black, red, gold","general"
"What shape is a stop sign?","Octagon","general"
"What is the freezing point of water in Fahrenheit?","32","science"
"What planet is known for its Great Red Spot?","Jupiter","science"
"What is the largest species of shark?","Whale shark","animals"
"Who wrote The Raven?","Edgar Allan Poe","authors"
